date,product_code,product,variant,sold_quantity,quater,gross_price,gross_price_total
2020-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,202,Q1,19.0573,3849.5746
2020-09-01,A0118150102,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Plus,162,Q1,21.4565,3475.9530
2020-09-01,A0118150103,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Premium,193,Q1,21.7795,4203.4435
2020-09-01,A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus",146,Q1,22.9729,3354.0434
2020-09-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,149,Q1,23.6987,3531.1063
2020-09-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,107,Q1,24.7312,2646.2384
2020-09-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,123,Q1,23.6154,2904.6942
2020-09-01,A0320150301,"AQ Zion Saga",Standard,146,Q1,23.7223,3463.4558
2020-09-01,A0321150302,"AQ Zion Saga",Plus,236,Q1,27.1027,6396.2372
2020-09-01,A0321150303,"AQ Zion Saga",Premium,137,Q1,28.0059,3836.8083
2020-09-01,A0418150103,"AQ Mforce Gen X","Standard 3",23,Q1,19.5235,449.0405
2020-09-01,A0418150104,"AQ Mforce Gen X","Plus 1",82,Q1,19.9239,1633.7598
2020-09-01,A0418150105,"AQ Mforce Gen X","Plus 2",86,Q1,20.0766,1726.5876
2020-09-01,A0418150106,"AQ Mforce Gen X","Plus 3",48,Q1,19.9365,956.9520
2020-09-01,A0519150201,"AQ Mforce Gen Y","Standard 1",138,Q1,22.3984,3090.9792
2020-09-01,A0519150202,"AQ Mforce Gen Y","Standard 2",72,Q1,24.9298,1794.9456
2020-09-01,A0519150203,"AQ Mforce Gen Y","Standard 3",38,Q1,26.5871,1010.3098
2020-09-01,A0519150204,"AQ Mforce Gen Y","Plus 1",149,Q1,26.1081,3890.1069
2020-09-01,A0519150205,"AQ Mforce Gen Y","Plus 2",29,Q1,29.7008,861.3232
2020-09-01,A0519150206,"AQ Mforce Gen Y","Plus 3",28,Q1,31.2439,874.8292
2020-09-01,A0519150207,"AQ Mforce Gen Y","Premium 1",171,Q1,32.4427,5547.7017
2020-09-01,A0519150208,"AQ Mforce Gen Y","Premium 2",118,Q1,30.5816,3608.6288
2020-09-01,A0619150301,"AQ Mforce Gen Z","Standard 1",51,Q1,30.4696,1553.9496
2020-09-01,A0619150302,"AQ Mforce Gen Z","Standard 2",191,Q1,34.0973,6512.5843
2020-09-01,A0620150303,"AQ Mforce Gen Z","Standard 3",167,Q1,34.2412,5718.2804
2020-09-01,A0620150304,"AQ Mforce Gen Z","Plus 1",122,Q1,37.5826,4585.0772
2020-09-01,A0620150305,"AQ Mforce Gen Z","Plus 2",173,Q1,36.5679,6326.2467
2020-09-01,A0620150306,"AQ Mforce Gen Z","Plus 3",182,Q1,37.5278,6830.0596
2020-09-01,A0621150307,"AQ Mforce Gen Z","Premium 1",177,Q1,36.2434,6415.0818
2020-09-01,A0621150308,"AQ Mforce Gen Z","Premium 2",166,Q1,39.3990,6540.2340
2020-09-01,A0721150401,"AQ GT 21",Standard,22,Q1,39.3377,865.4294
2020-09-01,A0721150402,"AQ GT 21","Plus 1",62,Q1,39.1465,2427.0830
2020-09-01,A0721150403,"AQ GT 21","Plus 2",57,Q1,39.2990,2240.0430
2020-09-01,A0721150404,"AQ GT 21",Premium,182,Q1,39.1215,7120.1130
2020-09-01,A0821150501,"AQ Marquee P3",Standard,120,Q1,40.5013,4860.1560
2020-09-01,A0821150502,"AQ Marquee P3","Plus 1",106,Q1,43.2966,4589.4396
2020-09-01,A0821150503,"AQ Marquee P3","Plus 2",172,Q1,42.3841,7290.0652
2020-09-01,A0821150504,"AQ Marquee P3",Premium,197,Q1,44.7044,8806.7668
2020-09-01,A0921150601,"AQ Marquee P4",Standard,56,Q1,45.0813,2524.5528
2020-09-01,A1018150101,"AQ 5000 Series Electron 9 5900X Desktop Processor",Standard,91,Q1,111.1036,10110.4276
